"PERMIT NUMBER","OWNER NAME","OPERATING NAME","STREET","CITY","STATE","ZIP","ZIP4","COUNTY"
"AZ-W-15026","NORMAN JOSEPH BURGLIN AND JORDAN JOSEPH BURGLIN","CASAVINO CUSTOM WINERY","12005 N SAGUARO BLVD","FOUNTAIN HILLS","AZ",85268,4625,"MARICOPA"
"AZ-W-15029","JEROME WINERY, INC.","BITTER CREEK WINERY","240 HULL ST","JEROME","AZ",86331,0,"YAVAPAI"
"AZ-W-15031","LAWRENCE DUNHAM VINEYARDS, LLC","LAWRENCE DUNHAM VINEYARDS","13922 S KUYKENDALL CUTOFF RD","PEARCE","AZ",85625,0,"COCHISE"
"AZ-W-15032","GERALD, INC.","ROSE PEAK VINEYARDS","17251 W ASH CREEK RD","WILLCOX","AZ",85643,7601,"COCHISE"
"AZ-W-15033","CALLAGHAN VINEYARDS, L.L.C.","CALLAGHAN VINEYARDS","336 ELGIN RD","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15034","KWB CHANDLER, LLC","KOKOPELLI WINERY","35 W BOSTON ST","CHANDLER","AZ",85225,0,"MARICOPA"
"AZ-W-15035","FRANK A. CUDA","REUNION CAMP JUNIPERWOOD RANCH WINERY","7775 W STOCKMAN RD","ASH FORK","AZ",86320,1111,"YAVAPAI"
"AZ-W-15036","BARBARA CARR AND ROCKY CARR","SONORAN DESERT WINERY","9385 S WILTBANK RD","TUCSON","AZ",85736,0,"PIMA"
"AZ-W-15037","CARLSON CREEK VINEYARD, LLC","CARLSON CREEK VINEYARD","115 RAILVIEW AVE","WILLCOX","AZ",85643,2227,"COCHISE"
"AZ-W-15038","CADUCEUS CELLARS, LLC","CADUCEUS CELLARS","103 DUNDEE AVE","JEROME","AZ",86331,0,"YAVAPAI"
"AZ-W-15039","HAMMELMAN WINES LLC","HAMMELMAN WINES","130 S HASKELL AVE","WILLCOX","AZ",85643,1111,"COCHISE"
"AZ-W-15040","WINE CANYON LLC","WINE CANYON","6140 S KINGS RANCH RD","GOLD CANYON","AZ",85118,4679,"PINAL"
"AZ-W-15041","HANNAH'S HILL ENTERPRISES, LLC","HANNAH'S HILL VINEYARD","3989 HIGHWAY 82","ELGIN","AZ",85611,0,"SANTA CRUZ"
"AZ-W-15042","CRAIG VINEYARDS, LLC","CHARRON VINEYARDS & WINERY","18585 S SONOITA HWY","VAIL","AZ",85641,9107,"PIMA"
"AZ-W-15043","RANCHOMARIA VINEYARDS LLC","RANCHOMARIA VINEYARDS","13490 S BELL RD","BENSON","AZ",85602,7322,"COCHISE"
"AZ-W-15044","EARLE'S CUSTOM WINES INC.","YUMA'S MAIN SQUEEZE","251 S MAIN ST","YUMA","AZ",85364,0,"YUMA"
"AZ-W-15045","SUSTAINABLE PACKAGING SOLUTIONS, LLC","KIND VINES","2225 N GEMINI DR","FLAGSTAFF","AZ",86001,1601,"COCONINO"
"AZ-W-15046","MARIE PETROFF","PLEASANT VALLEY WINERY","3023 WALNUT CREEK RD","YOUNG","AZ",85554,1111,"GILA"
"AZ-W-15047","JANN HELLETHAL BENGEL AND HENRY DANIEL BENGEL","SILVER STRIKE WINERY","334 E ALLEN ST","TOMBSTONE","AZ",85638,0,"COCHISE"
"AZ-W-20214","TERRACE TEE LLC","TERRACE TEE WINERY","155 CIRCLE DR","BENSON","AZ",85602,6773,"Cochise"
"AZ-W-20307","JORVE MACMILLAN VINEYARDS, L.L.C.","ZARPARA VINEYARD","6777 S ZARPARA LN","WILLCOX","AZ",85643,0,"Cochise"
"AZ-W-269","STALTARI, WILLIAM JOSEPH","SAN DOMINIQUE WINERY","YAVAPAI CTY. HWY. 17 & ARIZONA RT. 169","CAMP VERDE","AZ",86322,0,"MARICOPA"
"AZ-W-272","ARTHUR BURDON OCHELTREE","ARIZONA VINEYARDS","1830 PATAGONIA HWY","NOGALES","AZ",85621,0,"SANTA CRUZ"
"AZ-W-273","SONOITA VINEYARDS, LTD.","SONOITA VINEYARDS","ON CONELO ROAD, 2.75 MI. SW OF ELGIN","ELGIN","AZ",85611,0,"PIMA"
"AZ-W-286","LESCO ENTERPRISES INC.","FT BOWIE VINEYARDS & ORCHARD PRODUCTS","156 N JEFFERSON","BOWIE","AZ",85605,0,"COCHISE"
"AZ-W-288","DOMAINES ELLAM, INC.","THE VILLAGE OF ELGIN WINERY","471 ELGIN RD","ELGIN","AZ",85611,0,"PIMA"
"AZ-W-290","AMIGOS DE VINO, INC.","ECHO CANYON VINEYARD & WINERY","3222 N ECHO CANYON RD","CORNVILLE","AZ",86325,0,"YAVAPAI"
"AZ-W-291","OAK CREEK VINEYARDS & WINERY, INC","OAK CREEK VINEYARDS & WINERY","1555 N PAGE SPRINGS RD","CORNVILLE","AZ",86325,6009,"YAVAPAI"
"AZ-W-296","COLIBRI VINEYARD AND WINERY, L.L.C.","COLIBRI VINEYARD AND WINERY","2825 W HILLTOP RD","PORTAL","AZ",85632,8021,"COCHISE"
"CO-W-15000","VERSO CELLARS, LLC","VERSO CELLARS","21358 AUSTIN RD","AUSTIN","CO",81410,0,"DELTA"
"CO-W-15001","VALLEY OF THE WIND LLC","VALLEY OF THE WIND WINERY","220 12TH ST SW","LOVELAND","CO",80537,6392,"LARIMER"
"CO-W-15002","S RHODES VINEYARDS LLC"," ","13450 CHICKORY RD","HOTCHKISS","CO",81419,7109,"DELTA"
"CO-W-15003","WHITEWATER HILL LLC","WHITEWATER HILL VINEYARDS","220 32 RD","GRAND JUNCTION","CO",81503,9404,"MESA"
"CO-W-15005","WINTER PARK WINERY LLC"," ","395 ZEREX ST","FRASER","CO",80442,0,"GRAND"
"CO-W-15008","TALON WINERY, LLC","COLORADO WINE ROOM","3701 G RD","PALISADE","CO",81526,0,"MESA"
"CO-W-15009","SNOWY PEAKS WINERY, LLC","SNOWY PEAKS WINERY","292 MORAINE AVE","ESTES PARK","CO",80517,0,"LARIMER"
"CO-W-15010","LEROUX CREEK VINEYARDS LLC","LEROUX CREEK VINEYARDS","12388 3100 RD","HOTCHKISS","CO",81419,6103,"DELTA"
"CO-W-15012","CONCETTA CELLARS, LLC"," ","4637 N FOXTAIL DR","CASTLE ROCK","CO",80109,2822,"DOUGLAS"
"CO-W-15014","DESERT MOON VINEYARDS, INC."," ","12656 E JAMISON PL","ENGLEWOOD","CO",80112,0,"ARAPAHOE"
"CO-W-15017","CIATANO'S VINEYARDS, LLC","CIATANO'S VINEYARDS","16858 N ST. VRAIN DR","LYONS","CO",80540,9051,"BOULDER"
"CO-W-15018","BLOSSOMWOOD CIDERY LLC","BLOSSOMWOOD CIDERY","794 NE INDIAN CAMP AVE","CEDAREDGE","CO",81413,5229,"DELTA"
"CO-W-15019","HCA WINERY ACQUISITION, LLC","THE WINERY AT HOLY CROSS ABBEY","3011 E HIGHWAY 50","CANON CITY","CO",81212,0,"FREMONT"
"CO-W-15020","VINTNER'S CELLAR OF LITTLETON, INC.","VINTNER'S CELLAR","10125 W SAN JUAN WAY","LITTLETON","CO",80127,0,"JEFFERSON"
"CO-W-15021","BIJOU CREEK VINEYARDS, LLC","BIJOU CREEK","18969 COUNTY RD","FORT MORGAN","CO",80701,8921,"MORGAN"
"CO-W-15022","BONACQUISTI WINE COMPANY"," ","4640 PECOS ST","DENVER","CO",80211,2300,"DENVER"
"CO-W-15023","BETHLEHEM WINE CELLARS, LLC","BETHLEHEM WINE CELLARS","42097 MINNESOTA CREEK RD","PAONIA","CO",81428,8125,"DELTA"
"CO-W-15025","PURPLE FEET INC."," ","8130 S UNIVERSITY BLVD","CENTENNIAL","CO",80122,3162,"ARAPAHOE"
"CO-W-15027","TEN BEARS WINERY, LTD., POUDRE VALLEY VINTNERS, LLC, GENERAL PARTNER"," ","5215 TEN BEARS CT","LAPORTE","CO",80535,9566,"LARIMER"
"CO-W-15028","LONE STAR VINO (DENVER), LLC"," ","1660 CHAMPA ST","DENVER","CO",80202,2703,"DENVER"
"CO-W-15029","AZURA STUDIOS CORP"," ","16764 FARMERS MINE RD","PAONIA","CO",81428,7101,"DELTA"
"CO-W-15030","LONE STAR VINO (SILVERTHORNE), L.L.C."," ","358 BLUE RIVER PKWY","SILVERTHORNE","CO",80498,9224,"SUMMIT"
"CO-W-15031","VINO DI MARIA","VINO DI MARIA","12445 E 39TH AVE","DENVER","CO",80239,0,"DENVER"
"CO-W-15032","PHILIP AND SUSAN PATTON","THE PEACHFORK","281 33 RD","PALISADE","CO",81526,9505,"MESA"
"CO-W-15033","BLUE MOUNTAIN VINEYARDS LTD"," ","4480 HOOT OWL DR","BERTHOUD","CO",80513,0,"LARIMER"
"CO-W-15034","CONSTANCE CELLARS LLC","CONSTANCE CELLARS","13135 WHISPER CANYON RD","CASTLE ROCK","CO",80108,8181,"DOUGLAS"
"CO-W-15035","ALLIS RANCH WINERY, LLC"," ","901 ALLIS RANCH RD","SEDALIA","CO",80135,8364,"DOUGLAS"
"CO-W-15036","BACCHUS MEADERY, LLC","BACCHUS MEADERY","4229 W EISENHOWER BLVD","LOVELAND","CO",80538,9202,"LARIMER"
"CO-W-15038","VINTNERS IN THE SPA, L.L.C.","D'VINE WINE","934 MANITOU AVE","MANITOU SPRINGS","CO",80829,0,"EL PASO"
"CO-W-15039","5680 L.L.C."," ","14652 PEONY LN","PAONIA","CO",81428,4112,"DELTA"
"CO-W-15041","DESERT SUN VINEYARDS & WINERY, LLC","Desert Sun Vineyards & Winery","3230 B 1/2 RD","GRAND JUNCTION","CO",81503,9412,"MESA"
"CO-W-15042","SUMMIT CELLARS LLC","SUMMIT CELLARS","595 36 RD","PALISADE","CO",81526,0,"MESA"
"CO-W-15043","THE INFINITE MONKEY THEOREM, LLC","THE INFINITE MONKEY THEOREM","931 W 5TH AVE","DENVER","CO",80204,5007,"DENVER"
"CO-W-15044","DITHYRAMB WINERY, LLP","DITHYRAMB WINERY","8312 E BRIARWOOD BLVD","CENTENNIAL","CO",80112,1319,"ARAPAHOE"
"CO-W-15045","FAIRBANK / WECKER, INC.","LILIPUTIAN WINERY","31428 HWY 92","HOTCHKISS","CO",81419,0,"DELTA"
"CO-W-15046","AVANT VINEYARDS INC."," ","3486 E RD","PALISADE","CO",81526,9571,"MESA"
"CO-W-15047","ROBERT MURHL STAHL AND MARY ELLEN STAHL","RIVER GARDEN WINERY","9378 COUNTY RD","FORT LUPTON","CO",80621,9308,"WELD"
"CO-W-15048","Lawrence David Garrett","Garrett Estate Cellars","53528 FALCON RD","OLATHE","CO",81425,9617,"MONTROSE"
"CO-W-15049","VARAISON VINEYARDS AND WINERY, LLC"," ","405 W FIRST ST","PALISADE","CO",81526,0,"MESA"
"CO-W-15050","NORTH FORK CELLARS LLC","NORTH FORK CELLARS LLC","386 HIGH ST","HOTCHKISS","CO",81419,0,"DELTA"
"CO-W-15051","MAISON LA BELLE VIE, INC."," ","3575 G RD","PALISADE","CO",81526,8701,"MESA"
"CO-W-15052","TWO BROTHERS VINEYARDS, LLC","BLACK FOREST MEADERY","6420 BURROWS RD","COLORADO SPRINGS","CO",80908,3820,"EL PASO"
"CO-W-15053","ASPEN PEAK CELLARS, INC","ASPEN PEAK CELLARS","60750 US HWY","BAILEY","CO",80421,0,"PARK"
"CO-W-15055","PWP CORPORATION","MESA PARK VINEYARDS","3321 C ROAD","PALISADE","CO",81526,9531,"MESA"
"CO-W-15056","ZEPHYR CELLARS, LTD."," ","200 SW STREET","LOVELAND","CO",80537,0,"LARIMER"
"CO-W-15057","RGW ASSOCIATES INC.","MAS RIOS WINERY","3820 G 25 RD","PALISADE","CO",81526,0,"MESA"
"CO-W-15058","PLEASANT VIEW VINEYARDS LLC","PLEASANT VIEW VINEYARDS","22970 COUNTY ROAD 10","PLEASANT VIEW","CO",81331,0,"MONTEZUMA"
"CO-W-15059","FOX FIRE FARMS LLC THREE","FOX FIRE FARMS","5513 COUNTY RD","IGNACIO","CO",81137,9690,"LA PLATA"
"CO-W-15061","SPRING CREEK VINEYARDS LLC"," ","1702 WILLOW ST","CANON CITY","CO",81212,5146,"FREMONT"
"CO-W-15062","VINO SALIDA, LLC","VINO SALIDA","8100 W US HWY 50","SALIDA","CO",81201,0,"CHAFFEE"
"CO-W-15063","BLACK INK ASSETS LLC","RUBY TRUST CELLARS","864 W HAPPY CANYON RD","CASTLE ROCK","CO",80108,3908,"DOUGLAS"
"CO-W-15065","CIATANO'S VINEYARDS, LLC","CIATANO'S VINEYARDS","200 12TH ST SW","LOVELAND","CO",80537,6393,"LARIMER"
"CO-W-15066","LAWRENCE E. PARKER & NINA L. PARKER","FIRE MOUNTAIN VINEYARD","38594 STUCKER MESA RD","HOTCHKISS","CO",81419,6241,"DELTA"
"CO-W-15067","GUBBINI WINERY, LLC","GUBBINI WINERY","3697 F RD","PALISADE","CO",81526,9327,"MESA"
"CO-W-15068","SETTEMBRE CELLARS LLC","SETTEMBRE CELLARS","1780 GRAPE AVE","BOULDER","CO",80304,2203,"BOULDER"
"CO-W-15069","CARRIAGE HOUSE LLC","WATER 2 WINE CO-2","9608 E ARAPAHOE RD","GREENWOOD VILLAGE","CO",80112,3703,"ARAPAHOE"
"CO-W-15070","KHL & ASSOCIATES, INC.","KAHIL WINERY","2087 BROADWAY","GRAND JUNCTION","CO",81507,9778,"MESA"
"CO-W-15071","BOLDRON FARM LTD","HONEYJACK","9769 W 119TH DR","BROOMFIELD","CO",80020,0,"BROOMFIELD"
"CO-W-15072","ROCKYSPRING WINERY LLC","ROCKYSPRING WINERY","1339 WOLFE RD","HARTSEL","CO",80449,0,"PARK"
"CO-W-15073","SWEETHEART CITY WINES, LLC"," ","6295 BLUFF LN","LOVELAND","CO",80537,2924,"LARIMER"
"CO-W-15074","TWO BEES LLC","HUNTERS MOON MEADERY","404 IMMIGRANT TRL","SEVERANCE","CO",80550,2624,"WELD"
"CO-W-15075","COLORADO CIDER COMPANY, LLC","COLORADO CIDER COMPANY","2650 W 2ND AVE","DENVER","CO",80219,1642,"DENVER"
"CO-W-15076","ANATOMY WINES, LLC","ANATOMY WINES","1017 BUFFALO RIDGE RD","CASTLE ROCK","CO",80108,8188,"DOUGLAS"
"CO-W-15077","COLTERRIS, LLC","COLTERRIS WINES","3548 E 1/2 RD","PALISADE","CO",81526,9559,"MESA"
"CO-W-15080","COLORADO STATE UNIVERSITY","RAM'S POINT WINERY","3168 B 1/2 RD","GRAND JUNCTION","CO",81503,9621,"MESA"
"CO-W-15082","POINT BLANK WINERY LLC","POINT BLANK WINERY","6547 S RACINE CIR","CENTENNIAL","CO",80111,6459,"ARAPAHOE"
"CO-W-15083","TT ENTERPRISE","THE QUEEN'S HONEYWINE","865 S LEYDEN ST","DENVER","CO",80220,1441,"DENVER"
"CO-W-20137","SOLARES LLC"," ","5131 FRANKLIN ST","DENVER","CO",80216,2103,"United States"
"CO-W-20151","BYERSCELLARS WINES, LLC","BYERSCELLARS WINES","109 W GALENA AVE","CRIPPLE CREEK","CO",80813,0,"United States"
"CO-W-20156","MESA WINDS WINERY LLC","MESA WINDS WINERY","31262 L RD","HOTCHKISS","CO",81419,0," "
"CO-W-20308","FIRST CORKED, L.L.C.","SILVER VINES WINERY","7509 GRANDVIEW AVE","ARVADA","CO",80002,0,"Jefferson"
"CO-W-20327","KINGMAN ENTERPRISES L.L.C.","KINGMAN ESTATES WINERY","3148 A 1/2 RD","GRAND JUNCTION","CO",81503,0," "
"CO-W-20327","KINGMAN ENTERPRISES L.L.C.","KINGMAN ESTATES WINERY","3148 A 1/2 RD","GRAND JUNCTION","CO",81503,0," "
"CO-W-20380","SUMMIT WINES LLC","SUMMIT WINES","4860 S QUINTERO ST","AURORA","CO",80015,1837,"USA"
"CO-W-20439","ROBERTSON AND ASSOCIATES WINERY LTD","ROBERTSON AND ASSOCIATES WINERY","1088 PINEWICKET WAY","PARKER","CO",80138,4411,"Elbert"
"CO-W-29","PLUM CREEK CELLARS LTD","PLUM CREEK CELLARS","3708 G RD","PALISADE","CO",81526,9603,"MESA"
"CO-W-31","CARLSON VINEYARDS, INC."," ","461 35TH RD","PALISADE","CO",81526,9518,"MESA"
"CO-W-32","THE VINELAND CORPORATION.","COLORADO CELLARS LTD.","3553 E RD","PALISADE","CO",81526,9558,"MESA"
"CO-W-34","GRANDE RIVER VINEYARDS, INC."," ","787 ELBERTA AVE","PALISADE","CO",81526,129,"MESA"
"CO-W-36","MINTURN CELLARS, LTD.","MINTURN CELLARS","107 WILLIAMS ST","MINTURN","CO",81645,0,"EAGLE"
"CO-W-37","J. MATHEWSON & SONS, INC.","TERROR CREEK WINERY","17445 GARVIN MESA RD","PAONIA","CO",81428,0,"DELTA"
"CO-W-39","INFORMATION ENGINEERING SERVICES, INC.","COTTONWOOD CELLARS","5482 HIGHWAY 348","OLATHE","CO",81425,0,"MONTROSE"
"CO-W-40","RONDON ENTERPRISES, INC.","STONEY MESA WINERY","1619 2125 DR","CEDAREDGE","CO",81413,9577,"DELTA"
